Date,3-Month,5-Year,10-Year,30-Year
2000-01-03,5.269999980926514,6.456999778747559,6.547999858856201,6.5980000495910645
2000-01-04,5.269999980926514,6.395999908447266,6.485000133514404,6.5320000648498535
2000-01-05,5.269999980926514,6.488999843597412,6.598999977111816,6.63100004196167
2000-01-06,5.239999771118164,6.449999809265137,6.548999786376953,6.572000026702881
2000-01-07,5.21999979019165,6.396999835968018,6.504000186920166,6.5370001792907715
2000-01-10,5.230000019073486,6.459000110626221,6.558000087738037,6.590000152587891
2000-01-11,5.269999980926514,6.567999839782715,6.664000034332275,6.677000045776367
2000-01-12,5.28000020980835,6.60699987411499,6.696000099182129,6.701000213623047
2000-01-13,5.21999979019165,6.513999938964844,6.618000030517578,6.638999938964844
2000-01-14,5.25,6.568999767303467,6.673999786376953,6.688000202178955
2000-01-18,5.230000019073486,6.625,6.748000144958496,6.742000102996826
2000-01-19,5.349999904632568,6.593999862670898,6.724999904632568,6.716000080108643
2000-01-20,5.300000190734863,6.632999897003174,6.748000144958496,6.7270002365112305
2000-01-21,5.300000190734863,6.650000095367432,6.781000137329102,6.709000110626221
2000-01-24,5.329999923706055,6.572000026702881,6.684000015258789,6.646999835968018
2000-01-25,5.400000095367432,6.579999923706055,6.684000015258789,6.633999824523926
2000-01-26,5.409999847412109,6.611999988555908,6.679999828338623,6.585999965667725
2000-01-27,5.409999847412109,6.651000022888184,6.684999942779541,6.525000095367432
2000-01-28,5.46999979019165,6.659999847412109,6.6479997634887695,6.431000232696533
2000-01-31,5.53000020980835,6.691999912261963,6.666999816894531,6.491000175476074
2000-02-01,5.550000190734863,6.660999774932861,6.617000102996826,6.421000003814697
2000-02-02,5.5,6.677000045776367,6.5980000495910645,6.315000057220459
2000-02-03,5.429999828338623,6.552000045776367,6.474999904632568,6.164000034332275
2000-02-04,5.489999771118164,6.631999969482422,6.517000198364258,6.224999904632568
2000-02-07,5.46999979019165,6.735000133514404,6.63100004196167,6.334000110626221
2000-02-08,5.519999980926514,6.7270002365112305,6.598999977111816,6.21999979019165
2000-02-09,5.489999771118164,6.74399995803833,6.669000148773193,6.301000118255615
2000-02-10,5.5,6.760000228881836,6.656000137329102,6.435999870300293
2000-02-11,5.480000019073486,6.736999988555908,6.620999813079834,6.293000221252441
2000-02-14,5.460000038146973,6.6579999923706055,6.539000034332275,6.2170000076293945
2000-02-15,5.579999923706055,6.705999851226807,6.552000045776367,6.24399995803833
2000-02-16,5.550000190734863,6.698999881744385,6.546999931335449,6.264999866485596
2000-02-17,5.570000171661377,6.747000217437744,6.568999767303467,6.211999893188477
2000-02-18,5.570000171661377,6.677000045776367,6.482999801635742,6.1479997634887695
2000-02-22,5.599999904632568,6.541999816894531,6.3420000076293945,6.067999839782715
2000-02-23,5.639999866485596,6.638000011444092,6.427000045776367,6.135000228881836
2000-02-24,5.639999866485596,6.5269999504089355,6.3460001945495605,6.125999927520752
2000-02-25,5.619999885559082,6.480999946594238,6.341000080108643,6.1529998779296875
2000-02-28,5.659999847412109,6.567999839782715,6.414000034332275,6.189000129699707
2000-02-29,5.639999866485596,6.5929999351501465,6.408999919891357,6.132999897003174
2000-03-01,5.599999904632568,6.560999870300293,6.379000186920166,6.151000022888184
2000-03-02,5.590000152587891,6.60099983215332,6.395999908447266,6.144000053405762
2000-03-03,5.630000114440918,6.578999996185303,6.370999813079834,6.117000102996826
2000-03-06,5.650000095367432,6.626999855041504,6.408999919891357,6.144000053405762
2000-03-07,5.650000095367432,6.586999893188477,6.382999897003174,6.1479997634887695
2000-03-08,5.670000076293945,6.579999923706055,6.375,6.159999847412109
2000-03-09,5.659999847412109,6.547999858856201,6.341000080108643,6.1479997634887695
2000-03-10,5.679999828338623,6.5970001220703125,6.38700008392334,6.189000129699707
2000-03-13,5.710000038146973,6.565999984741211,6.361999988555908,6.1620001792907715
2000-03-14,5.710000038146973,6.501999855041504,6.297999858856201,6.105999946594238
2000-03-15,5.690000057220459,6.49399995803833,6.276000022888184,6.072000026702881
2000-03-16,5.699999809265137,6.454999923706055,6.23799991607666,6.039000034332275
2000-03-17,5.699999809265137,6.440000057220459,6.188000202178955,6.000999927520752
2000-03-20,5.730000019073486,6.447999954223633,6.171000003814697,5.98799991607666
2000-03-21,5.739999771118164,6.432000160217285,6.13700008392334,5.966000080108643
2000-03-22,5.739999771118164,6.408999919891357,6.119999885559082,5.9679999351501465
2000-03-23,5.730000019073486,6.376999855041504,6.070000171661377,5.9039998054504395
2000-03-24,5.71999979019165,6.489999771118164,6.173999786376953,5.984000205993652
2000-03-27,5.679999828338623,6.50600004196167,6.195000171661377,5.986000061035156
2000-03-28,5.710000038146973,6.474999904632568,6.170000076293945,5.98799991607666
2000-03-29,5.71999979019165,6.427000045776367,6.14900016784668,5.961999893188477
2000-03-30,5.710000038146973,6.355000019073486,6.065000057220459,5.873000144958496
2000-03-31,5.71999979019165,6.331999778747559,6.0229997634887695,5.8460001945495605
2000-04-03,5.690000057220459,6.283999919891357,5.986000061035156,5.824999809265137
2000-04-04,5.670000076293945,6.093999862670898,5.841000080108643,5.736999988555908
2000-04-05,5.699999809265137,6.1570000648498535,5.881999969482422,5.795000076293945
2000-04-06,5.710000038146973,6.2129998207092285,5.914999961853027,5.790999889373779
2000-04-07,5.710000038146973,6.182000160217285,5.848999977111816,5.708000183105469
2000-04-10,5.690000057220459,6.103000164031982,5.791999816894531,5.683000087738037
2000-04-11,5.670000076293945,6.173999786376953,5.876999855041504,5.771999835968018
2000-04-12,5.670000076293945,6.26200008392334,5.9679999351501465,5.841000080108643
